year,jurisdiction,usps,state_fips,in_panel,coverage_code,weight
2018,Alabama,AL,1,1,X,1.0
2019,Alabama,AL,1,1,X,1.0
2020,Alabama,AL,1,1,X,1.0
2021,Alabama,AL,1,1,X,1.0
2022,Alabama,AL,1,1,X,1.0
2023,Alabama,AL,1,1,assumed_X,1.0
2024,Alabama,AL,1,1,assumed_X,1.0
2018,Alaska,AK,2,1,X,1.0
2019,Alaska,AK,2,1,X,1.0
2020,Alaska,AK,2,1,X,1.0
2021,Alaska,AK,2,1,X,1.0
2022,Alaska,AK,2,1,X,1.0
2023,Alaska,AK,2,1,assumed_X,1.0
2024,Alaska,AK,2,1,assumed_X,1.0
2018,Arizona,AZ,4,1,X,1.0
2019,Arizona,AZ,4,1,X,1.0
2020,Arizona,AZ,4,1,X,1.0
2021,Arizona,AZ,4,1,X,1.0
2022,Arizona,AZ,4,1,X,1.0
2023,Arizona,AZ,4,1,assumed_X,1.0
2024,Arizona,AZ,4,1,assumed_X,1.0
2018,Arkansas,AR,5,0,none,0.0
2019,Arkansas,AR,5,0,none,0.0
2020,Arkansas,AR,5,0,X,0.0
2021,Arkansas,AR,5,0,X,0.0
2022,Arkansas,AR,5,0,X,0.0
2023,Arkansas,AR,5,0,assumed_X,0.0
2024,Arkansas,AR,5,0,assumed_X,0.0
2018,California,CA,6,0,XP,0.0
2019,California,CA,6,0,XP,0.0
2020,California,CA,6,0,XP,0.0
2021,California,CA,6,0,XP,0.0
2022,California,CA,6,0,XP,0.0
2023,California,CA,6,0,assumed_X,0.0
2024,California,CA,6,0,assumed_X,0.0
2018,Colorado,CO,8,1,X,1.0
2019,Colorado,CO,8,1,X,1.0
2020,Colorado,CO,8,1,X,1.0
2021,Colorado,CO,8,1,X,1.0
2022,Colorado,CO,8,1,X,1.0
2023,Colorado,CO,8,1,assumed_X,1.0
2024,Colorado,CO,8,1,assumed_X,1.0
2018,Connecticut,CT,9,1,X,1.0
2019,Connecticut,CT,9,1,X,1.0
2020,Connecticut,CT,9,1,X,1.0
2021,Connecticut,CT,9,1,X,1.0
2022,Connecticut,CT,9,1,X,1.0
2023,Connecticut,CT,9,1,assumed_X,1.0
2024,Connecticut,CT,9,1,assumed_X,1.0
2018,Delaware,DE,10,1,X,1.0
2019,Delaware,DE,10,1,X,1.0
2020,Delaware,DE,10,1,X,1.0
2021,Delaware,DE,10,1,X,1.0
2022,Delaware,DE,10,1,X,1.0
2023,Delaware,DE,10,1,assumed_X,1.0
2024,Delaware,DE,10,1,assumed_X,1.0
2018,District of Columbia,DC,11,1,X,1.0
2019,District of Columbia,DC,11,1,X,1.0
2020,District of Columbia,DC,11,1,X,1.0
2021,District of Columbia,DC,11,1,X,1.0
2022,District of Columbia,DC,11,1,X,1.0
2023,District of Columbia,DC,11,1,assumed_X,1.0
2024,District of Columbia,DC,11,1,assumed_X,1.0
2018,Florida,FL,12,0,none,0.0
2019,Florida,FL,12,0,none,0.0
2020,Florida,FL,12,0,0,0.0
2021,Florida,FL,12,0,0,0.0
2022,Florida,FL,12,0,XP,0.0
2023,Florida,FL,12,0,assumed_X,0.0
2024,Florida,FL,12,0,assumed_X,0.0
2018,Georgia,GA,13,1,X,1.0
2019,Georgia,GA,13,1,X,1.0
2020,Georgia,GA,13,1,X,1.0
2021,Georgia,GA,13,1,X,1.0
2022,Georgia,GA,13,1,X,1.0
2023,Georgia,GA,13,1,assumed_X,1.0
2024,Georgia,GA,13,1,assumed_X,1.0
2018,Hawaii,HI,15,0,0,0.0
2019,Hawaii,HI,15,0,X,0.0
2020,Hawaii,HI,15,0,0,0.0
2021,Hawaii,HI,15,0,0,0.0
2022,Hawaii,HI,15,0,X,0.0
2023,Hawaii,HI,15,0,assumed_X,0.0
2024,Hawaii,HI,15,0,assumed_X,0.0
2018,Idaho,ID,16,0,none,0.0
2019,Idaho,ID,16,0,none,0.0
2020,Idaho,ID,16,0,X,0.0
2021,Idaho,ID,16,0,X,0.0
2022,Idaho,ID,16,0,X,0.0
2023,Idaho,ID,16,0,assumed_X,0.0
2024,Idaho,ID,16,0,assumed_X,0.0
2018,Illinois,IL,17,0,XP,0.0
2019,Illinois,IL,17,0,XP,0.0
2020,Illinois,IL,17,0,X,0.0
2021,Illinois,IL,17,0,X,0.0
2022,Illinois,IL,17,0,X,0.0
2023,Illinois,IL,17,0,assumed_X,0.0
2024,Illinois,IL,17,0,assumed_X,0.0
2018,Indiana,IN,18,1,X,1.0
2019,Indiana,IN,18,1,X,1.0
2020,Indiana,IN,18,1,X,1.0
2021,Indiana,IN,18,1,X,1.0
2022,Indiana,IN,18,1,X,1.0
2023,Indiana,IN,18,1,assumed_X,1.0
2024,Indiana,IN,18,1,assumed_X,1.0
2018,Iowa,IA,19,1,X,1.0
2019,Iowa,IA,19,1,X,1.0
2020,Iowa,IA,19,1,X,1.0
2021,Iowa,IA,19,1,X,1.0
2022,Iowa,IA,19,1,X,1.0
2023,Iowa,IA,19,1,assumed_X,1.0
2024,Iowa,IA,19,1,assumed_X,1.0
2018,Kansas,KS,20,1,X,1.0
2019,Kansas,KS,20,1,X,1.0
2020,Kansas,KS,20,1,X,1.0
2021,Kansas,KS,20,1,X,1.0
2022,Kansas,KS,20,1,X,1.0
2023,Kansas,KS,20,1,assumed_X,1.0
2024,Kansas,KS,20,1,assumed_X,1.0
2018,Kentucky,KY,21,1,X,1.0
2019,Kentucky,KY,21,1,X,1.0
2020,Kentucky,KY,21,1,X,1.0
2021,Kentucky,KY,21,1,X,1.0
2022,Kentucky,KY,21,1,X,1.0
2023,Kentucky,KY,21,1,assumed_X,1.0
2024,Kentucky,KY,21,1,assumed_X,1.0
2018,Louisiana,LA,22,1,X,1.0
2019,Louisiana,LA,22,1,X,1.0
2020,Louisiana,LA,22,1,X,1.0
2021,Louisiana,LA,22,1,X,1.0
2022,Louisiana,LA,22,1,X,1.0
2023,Louisiana,LA,22,1,assumed_X,1.0
2024,Louisiana,LA,22,1,assumed_X,1.0
2018,Maine,ME,23,1,X,1.0
2019,Maine,ME,23,1,X,1.0
2020,Maine,ME,23,1,X,1.0
2021,Maine,ME,23,1,X,1.0
2022,Maine,ME,23,1,X,1.0
2023,Maine,ME,23,1,assumed_X,1.0
2024,Maine,ME,23,1,assumed_X,1.0
2018,Maryland,MD,24,1,X,1.0
2019,Maryland,MD,24,1,X,1.0
2020,Maryland,MD,24,1,X,1.0
2021,Maryland,MD,24,1,X,1.0
2022,Maryland,MD,24,1,X,1.0
2023,Maryland,MD,24,1,assumed_X,1.0
2024,Maryland,MD,24,1,assumed_X,1.0
2018,Massachusetts,MA,25,1,X,1.0
2019,Massachusetts,MA,25,1,X,1.0
2020,Massachusetts,MA,25,1,X,1.0
2021,Massachusetts,MA,25,1,X,1.0
2022,Massachusetts,MA,25,1,X,1.0
2023,Massachusetts,MA,25,1,assumed_X,1.0
2024,Massachusetts,MA,25,1,assumed_X,1.0
2018,Michigan,MI,26,1,X,1.0
2019,Michigan,MI,26,1,X,1.0
2020,Michigan,MI,26,1,X,1.0
2021,Michigan,MI,26,1,X,1.0
2022,Michigan,MI,26,1,X,1.0
2023,Michigan,MI,26,1,assumed_X,1.0
2024,Michigan,MI,26,1,assumed_X,1.0
2018,Minnesota,MN,27,1,X,1.0
2019,Minnesota,MN,27,1,X,1.0
2020,Minnesota,MN,27,1,X,1.0
2021,Minnesota,MN,27,1,X,1.0
2022,Minnesota,MN,27,1,X,1.0
2023,Minnesota,MN,27,1,assumed_X,1.0
2024,Minnesota,MN,27,1,assumed_X,1.0
2018,Mississippi,MS,28,0,none,0.0
2019,Mississippi,MS,28,0,none,0.0
2020,Mississippi,MS,28,0,X,0.0
2021,Mississippi,MS,28,0,X,0.0
2022,Mississippi,MS,28,0,X,0.0
2023,Mississippi,MS,28,0,assumed_X,0.0
2024,Mississippi,MS,28,0,assumed_X,0.0
2018,Missouri,MO,29,1,X,1.0
2019,Missouri,MO,29,1,X,1.0
2020,Missouri,MO,29,1,X,1.0
2021,Missouri,MO,29,1,X,1.0
2022,Missouri,MO,29,1,X,1.0
2023,Missouri,MO,29,1,assumed_X,1.0
2024,Missouri,MO,29,1,assumed_X,1.0
2018,Montana,MT,30,0,none,0.0
2019,Montana,MT,30,0,X,0.0
2020,Montana,MT,30,0,X,0.0
2021,Montana,MT,30,0,X,0.0
2022,Montana,MT,30,0,X,0.0
2023,Montana,MT,30,0,assumed_X,0.0
2024,Montana,MT,30,0,assumed_X,0.0
2018,Nebraska,NE,31,1,X,1.0
2019,Nebraska,NE,31,1,X,1.0
2020,Nebraska,NE,31,1,X,1.0
2021,Nebraska,NE,31,1,X,1.0
2022,Nebraska,NE,31,1,X,1.0
2023,Nebraska,NE,31,1,assumed_X,1.0
